ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code
kha,Khasi,,24.977,91.9998,khas1269,
tam,Tamil,,10.520219,78.825989,tami1289,
tel,Telugu,,16.4529,78.7024,telu1262,
nep,Nepali,,28,85,nepa1254,
bfz,Kotgarhi,,31.0088,77.5317,maha1287,
hin,Hindi,,25,77,hind1269,
ben,Bengali,,24,90,beng1280,
pnb,Western Panjabi,,30.0368,75.6702,panj1256,
mar,Marathi,,17.9344,76.6665,mara1378,
bod,Tibetan,,28.3681,90.1872,tibe1272,
goe,Gongduk,,27.066,91.1686,gong1251,
loy,Lowa,,29.0324,83.8959,lowa1242,
sip,Sikkimese,,27.85795,88.59153,sikk1242,
dzo,Dzongkha,,27.410786,89.581604,dzon1239,
xkz,Kurtokha,,27.5365,90.9822,kurt1248,
grt,Garo,,25.2954,90.462,garo1247,
aeu,Akeu,,22.1959,101.0823,akeu1235,
dhi,Dhimal,,26.6283,88.3798,dhim1246,
txo,Toto,,26.67,88.975,toto1302,
mxj,Kman,,28.4732,97.0444,miju1243,
lep,Lepcha,,27.0869,88.5726,lepc1244,
lif,Limbu,,27.2703,87.8859,limb1266,
thf,Thangmi,,28.7554,85.7657,than1259,
blk,Pa'o Karen,,20.211,97.5969,paok1235,
cvg,Duhumbi,,27.418381,92.234687,chug1252,
suv,Puroik,,27.455181,92.4744,west2873,
mla,Milang,,28.5539908,95.186127,mila1245,
tan,Tangam,,28.95,94.98,tang1377,
apt,Apatani,,27.1933,93.7284,apat1240,
mhu,Tawra,,28.4993,96.8803,diga1241,
clk,Idu,,29.4473,95.6472,idum1241,
duu,Drung,,28.00792,98.49449,drun1238,
